name,sumPlacement,amountJoined
JBDuncan,33,1
Thumb,33,1
h,33,1
Jank,33,1
hectorjunior710,33,1
Frito,33,1
BOAT,33,1
Kojakx,33,1
Harryparrry21,33,1
Chiva,33,1
action,49,1
CO3,49,1
pepperthegamer,49,1
TheBlueLink,49,1
Ricenpai,49,1
Spammy,49,1
Night,49,1
RemyTH,49,1
Punisher,49,1
clonepa,49,1
Ma víe,49,1
dangerboi64,49,1
A18,49,1
Rabbit,49,1
Pollo,49,1
scarysapo,65,1
k-os,65,1
Doorto,65,1
MaddoxGamer3000,65,1
jarool,65,1
Sparklly,65,1
howyadern,65,1
Gawain,65,1
Rextrem9956,65,1
Ayter,65,1
kjay,65,1
mcballer,65,1
Shmeeko,65,1
PiddQuinn,65,1
I Like beans,65,1
Mochiiiii,65,1
menate7,65,1
curiosikty,65,1
PreKnown,65,1
Flame29,65,1
maka,65,1
4ner,65,1
udonegoofed,65,1
ChemicalAlchemist,65,1
unx,65,1
yoshi,65,1
snowstorm,65,1
Gabe,65,1
PocketSocket,65,1
KTS,65,1
GNT,322,2
Kurshaun,1,1
WeaponRaid,2,1
Genius,134,3
Vega,5,1
Croissant,200,2
αngeloid,7,1
PrincePurple,9,1
InsertName,9,1
Beanz,402,2
Dungam,17,1
Snowbelle~,17,1
tg,17,1
Ma-kun,17,1
Rett,17,1
Rose~,25,1
NoisyMeteor,25,1
TGL,25,1
mattvxd,25,1
severedwings,25,1
Dana,380,4
Dark Mage,25,1
Nest,25,1
Mapl_3,33,1
Ivanchis,33,1
Vapor,33,1
Blutsauger,82,2
jumbojimbo,33,1
Draco,355,3
tradecraft,49,1
TheAnt,49,1
No Name,49,1
Gritanx,49,1
Thomas,49,1
Clu3less,49,1
gelato,49,1
Tanaka,49,1
Potatoman,146,2
SprYTe,49,1
Trenko,1,1
The_Hunter,3,1
NibbyNibbyNub,7,1
6:00am,9,1
Yalmanac,9,1
Koolst3r,13,1
ZeXa,13,1
NickSF,13,1
Mejor,17,1
Blaze,17,1
TTV/LeMonkeMan,17,1
