name,sumPlacement,amountJoined,amountTopped
RichrRo,33,1,0
EmmaHG,33,1,0
Teek,33,1,0
Gungnir,58,2,0
TitoR,33,1,0
Lucas,33,1,0
Yagui,49,1,0
Tsuna,434,2,0
Pollux,49,1,0
TYR,114,2,0
Jero,49,1,0
BandanaSW,49,1,0
Ikesaac,49,1,0
Kazuhira,49,1,0
GenuineProphet,49,1,0
Guilheww,146,2,0
R De Alma,49,1,0
Mayoneso,49,1,0
Rito26,49,1,0
Winijumbo,114,2,0
IsraZX,65,1,0
SBX/STR Rocket,65,1,0
Tyvant,65,1,0
Delg,65,1,0
Xerzal,14,2,2
Neutral,132,2,1
Rozden,4,1,1
Skittles,5,1,1
Lapras,295,3,1
AC3GAM3R,7,1,1
skeptical,7,1,1
Taka,9,1,0
Doogy,9,1,0
L.A.W,9,1,0
SIke,9,1,0
PlusleGod,206,2,0
Snowski,13,1,0
nano,13,1,0
Lilac,13,1,0
Cedric,17,1,0
squirrel,17,1,0
MainEvent,17,1,0
zickser,17,1,0
Puchi,17,1,0
Kelsey,17,1,0
Cyphn,17,1,0
Strato,17,1,0
ReeBassist,25,1,0
NiceOneBakery,154,2,0
Straitblanchin,25,1,0
noots,25,1,0
Trojan,122,2,0
Mako,25,1,0
Skype/tenshinX,25,1,0
suzie crabgrass,218,2,0
Seventh Deven,33,1,0
Pi9876,33,1,0
-HP-,33,1,0
Frog,98,2,0
Pazuzu,33,1,0
TDSP,66,2,0
cgt,66,2,0
Gamer,33,1,0
0-2 andy,33,1,0
Star,33,1,0
Cortex,46,2,0
KarZ,33,1,0
JJTheB,82,2,0
Buff Mac,439,3,1
Supermario,49,1,0
Neki,49,1,0
RandomEDay,49,1,0
heyman112,82,2,0
Hshadic123,49,1,0
Desk,1,1,1
RyzenNess,2,1,1
aquaze,28,2,1
Falkion,5,1,1
Dark Falcon,5,1,1
Sweshi,169,3,1
Yrc,7,1,1
BroKen,75,3,1
StriderX,9,1,1
Poncho,9,1,1
ZeppPuff,9,1,1
Deliboid,13,1,1
Grimturtle,13,1,1
Bmm404040,13,1,1
Lavender,13,1,1
Ikana,22,2,1
BiscQuit,17,1,0
Moxie,17,1,0
pluie,17,1,0
_ZoroCR_,17,1,0
Lenks,17,1,0
SATA,25,1,0
Saturnn,25,1,0
fatcat,25,1,0
Antithesis,25,1,0
Miruku,25,1,0
Mr.Raisin,25,1,0
Oni,33,1,0
DustyNuts,33,1,0
| Mudskip,418,2,0
Soy,418,2,0
Goofy,33,1,0
KuNoah,33,1,0
Mathematics,33,1,0
nazura,420,3,1
ANJELLOH,130,2,0
Frost,33,1,0
Shatdabot,33,1,0
Raptor,33,1,0
Eyas,33,1,0
Gunker,49,1,0
Mugiwara,49,1,0
hollow,49,1,0
Mabel,50,2,1
Am3thyst,49,1,0
FoughtHBoxWithNoLan,178,2,0
MrWii,49,1,0
Conch,49,1,0
Sebydoodle,49,1,0
Dawsk,49,1,0
Biscotto,49,1,0
CK,49,1,0
peparony,90,2,0
Gold,65,1,0
Leonfe,98,2,0
RaysRedemption,82,2,0
Mr Hokckey,65,1,0
Legend,65,1,0
Rabo,90,2,0
E-Gar,65,1,0
Soul Breaker,65,1,0
Mr.meme,65,1,0
MikeyProHD,65,1,0
RIPE BANANA,65,1,0
KaizokuLizzy,65,1,0
Kebling,194,2,0
SQUALL,65,1,0
wow!,65,1,0
CappuGeno,65,1,0
Asimmi,65,1,0
Amarantha,65,1,0
Breeze,65,1,0
Legoguy,97,1,0
okoop6,97,1,0
Ziggens,122,2,0
Prunz,97,1,0
Sharpedo43,180,4,0
Treachery,97,1,0
Gr3ase_M0nkey,97,1,0
Nagisa,146,2,0
jo,386,2,1
Babino,2,1,1
Safzai,3,1,1
Sky,4,1,1
Euphoria,54,2,1
Fhantum,54,2,1
_trey5,40,2,1
Radical,9,1,0
| Schiikk15,9,1,0
Arcus,9,1,0
jason,13,1,0
Trips,13,1,0
SmilEyOmLet,13,1,0
NoNeptune,26,2,1
Astori,17,1,0
diamondupree,179,3,0
Vykedaddy,179,3,0
NT,30,2,0
RiasMemeGod,66,2,0
Noxl,17,1,0
Orasorb,25,1,0
| Future Doctor,25,1,0
Golli,25,1,0
Hockey,25,1,0
Salad,58,2,0
Densetsu,66,2,0
Maj0ra,33,1,0
LiteralSoyYo,66,2,0
T-sizzle,33,1,0
Cott'n,33,1,0
Risk,98,2,0
Minejack777,33,1,0
KaGe,33,1,0
mellohi,33,1,0
rekt_dim,49,1,0
T3 DOM,1,1,1
Venus,2,1,1
YMCA,3,1,1
K9sbruce,4,1,1
Phoenix,22,2,1
White Nova,5,1,1
Linky,7,1,1
AC,7,1,1
| Kyros,9,1,0
M.M.Leo,9,1,0
Floppeh,9,1,0
?,9,1,0
Jesse Water,13,1,0
BashLuv,13,1,0
Shangrai,13,1,0
TheeR3dFox,13,1,0
Abe,17,1,0
JustOmega#8404,17,1,0
SoulX,17,1,0
Skydra,17,1,0
perc lord,17,1,0
Ace!,17,1,0
danlistoo,17,1,0
FrontalHornet08,17,1,0
Spanky,25,1,0
ChaseMe,25,1,0
Lenny,25,1,0
LaV,282,2,0
Tearbear,25,1,0
Simple Soul,25,1,0
Fluteloops,25,1,0
VG,33,1,0
ceej,33,1,0
Silla,33,1,0
Katz,33,1,0
Eggie,33,1,0
Beef,33,1,0
Pan Dulce,33,1,0
JoMammis,33,1,0
Yogi,33,1,0
miko,33,1,0
Phire,33,1,0
Zenokids,33,1,0
Tenebrae,33,1,0
KALi,226,2,0
Nem,33,1,0
A Pile Of Bacon,33,1,0
Gir,49,1,0
Lavabeast,49,1,0
ReddWolfe,49,1,0
MaChamp01,49,1,0
